id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
109,1.0,1.0,0.0,0.06666666666666667,0.0,,,infected
110,12.0,0.0,4.0,0.0,0.0,,,infected
111,,0.0,0.0,0.0,0.0,,,not_infected
112,2.0,2.0,0.0,0.13333333333333333,0.0,,,infected
113,2.0,0.0,3.0,0.06666666666666667,0.0,,,infected
114,,0.0,3.0,0.0,0.0,,,not_infected
115,,0.0,1.0,0.0,0.0,,,not_infected
116,9.0,0.0,12.0,0.0,0.06666666666666667,,,infected
117,,0.0,2.0,0.0,0.0,,,not_infected
118,3.0,0.0,9.0,0.2,0.0,,,infected
119,4.0,0.0,1.0,0.0,0.0,,,infected
120,1.0,2.0,1.0,0.06666666666666667,0.0,,,infected
121,,0.0,5.0,0.0,0.0,,,not_infected
122,8.0,4.0,2.0,0.26666666666666666,0.0,,,infected
123,,0.0,6.0,0.06666666666666667,0.0,,,not_infected
124,,0.0,1.0,0.0,0.0,,,not_infected
125,,1.0,0.0,0.0,0.0,,,not_infected
126,,0.0,0.0,0.0,0.0,,,not_infected
127,,0.0,6.0,0.0,0.0,,,not_infected
128,,0.0,3.0,0.06666666666666667,0.0,,,not_infected
129,3.0,0.0,11.0,0.0,0.0,,,infected
130,,0.0,3.0,0.0,0.0,,,not_infected
131,,0.0,4.0,0.0,0.0,,,not_infected
132,8.0,7.0,2.0,0.06666666666666667,0.06666666666666667,,,infected
133,,0.0,5.0,0.06666666666666667,0.0,,,not_infected
134,5.0,0.0,1.0,0.06666666666666667,0.0,,,infected
135,,0.0,3.0,0.13333333333333333,0.0,,,not_infected
136,,3.0,1.0,0.0,0.0,,,not_infected
137,,0.0,1.0,0.0,0.0,,,not_infected
138,8.0,1.0,6.0,0.2,0.06666666666666667,,,infected
139,2.0,0.0,4.0,0.06666666666666667,0.06666666666666667,,,infected
140,12.0,0.0,10.0,0.0,0.0,,,infected
141,3.0,0.0,6.0,0.0,0.0,,,infected
142,3.0,1.0,1.0,0.0,0.0,,,infected
143,,0.0,5.0,0.0,0.06666666666666667,,,not_infected
144,,0.0,0.0,0.0,0.0,,,not_infected
145,,3.0,1.0,0.0,0.0,,,not_infected
146,,0.0,9.0,0.0,0.0,,,not_infected
147,3.0,0.0,8.0,0.0,0.0,,,infected
148,,0.0,0.0,0.0,0.0,,,not_infected
149,1.0,3.0,2.0,0.26666666666666666,0.0,,,infected
150,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
151,,0.0,0.0,0.0,0.0,,,not_infected
152,,0.0,13.0,0.0,0.0,,,not_infected
153,,0.0,11.0,0.0,0.0,,,not_infected
154,3.0,0.0,14.0,0.0,0.06666666666666667,,,infected
155,,0.0,8.0,0.06666666666666667,0.0,,,not_infected
156,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
157,6.0,0.0,1.0,0.06666666666666667,0.0,,,infected
158,,2.0,4.0,0.0,0.0,,,not_infected
159,6.0,7.0,0.0,0.13333333333333333,0.0,,,infected
160,,0.0,3.0,0.06666666666666667,0.0,,,not_infected
161,,0.0,1.0,0.0,0.0,,,not_infected
162,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
163,,0.0,7.0,0.0,0.0,,,not_infected
164,,0.0,7.0,0.06666666666666667,0.06666666666666667,,,not_infected
165,4.0,2.0,4.0,0.13333333333333333,0.0,,,infected
166,3.0,0.0,4.0,0.13333333333333333,0.0,,,infected
167,,0.0,1.0,0.0,0.0,,,not_infected
168,,0.0,5.0,0.13333333333333333,0.0,,,not_infected
169,3.0,0.0,0.0,0.0,0.0,,,infected
170,3.0,0.0,0.0,0.0,0.0,,,infected
171,,0.0,0.0,0.0,0.0,,,not_infected
172,3.0,0.0,0.0,0.0,0.0,,,infected
173,,0.0,3.0,0.0,0.0,,,not_infected
174,2.0,0.0,1.0,0.0,0.0,,,infected
175,5.0,1.0,6.0,0.13333333333333333,0.0,,,infected
