id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
475,5.0,0.0,3.0,0.06666666666666667,0.0,,,infected
476,,0.0,1.0,0.0,0.0,,,not_infected
477,3.0,0.0,0.0,0.0,0.0,,,infected
478,,1.0,0.0,0.0,0.0,,,not_infected
479,,0.0,0.0,0.0,0.0,,,not_infected
480,4.0,0.0,4.0,0.0,0.0,,,infected
481,,0.0,0.0,0.0,0.0,,,not_infected
482,4.0,2.0,3.0,0.0,0.0,,,infected
483,3.0,0.0,1.0,0.0,0.0,,,infected
484,3.0,0.0,1.0,0.0,0.0,,,infected
485,4.0,0.0,2.0,0.0,0.0,,,infected
486,,1.0,0.0,0.0,0.0,,,not_infected
487,,0.0,0.0,0.0,0.0,,,not_infected
488,,0.0,5.0,0.0,0.0,,,not_infected
489,3.0,0.0,1.0,0.06666666666666667,0.0,,,infected
490,3.0,0.0,2.0,0.0,0.0,,,infected
491,3.0,2.0,1.0,0.0,0.0,,,infected
492,4.0,0.0,2.0,0.06666666666666667,0.0,,,infected
493,3.0,0.0,1.0,0.0,0.0,,,infected
494,5.0,0.0,2.0,0.0,0.0,,,infected
495,5.0,0.0,0.0,0.0,0.0,,,infected
496,5.0,0.0,0.0,0.0,0.0,,,infected
497,5.0,0.0,2.0,0.0,0.0,,,infected
498,5.0,0.0,5.0,0.13333333333333333,0.0,,,infected
499,3.0,0.0,5.0,0.06666666666666667,0.0,,,infected
500,9.0,0.0,3.0,0.0,0.0,,,infected
501,,4.0,0.0,0.0,0.0,,,not_infected
502,5.0,0.0,0.0,0.0,0.0,,,infected
503,10.0,0.0,1.0,0.0,0.0,,,infected
504,7.0,0.0,2.0,0.0,0.0,,,infected
505,4.0,0.0,3.0,0.0,0.0,,,infected
506,4.0,2.0,0.0,0.0,0.0,,,infected
507,,0.0,7.0,0.0,0.0,,,not_infected
508,4.0,0.0,0.0,0.0,0.0,,,infected
509,,0.0,1.0,0.0,0.0,,,not_infected
510,11.0,0.0,4.0,0.0,0.0,,,infected
511,,0.0,3.0,0.0,0.0,,,not_infected
512,3.0,1.0,4.0,0.0,0.0,,,infected
513,8.0,0.0,1.0,0.0,0.0,,,infected
514,,5.0,5.0,0.0,0.0,,,not_infected
515,4.0,0.0,1.0,0.0,0.0,,,infected
516,,0.0,4.0,0.0,0.0,,,not_infected
517,,0.0,0.0,0.0,0.0,,,not_infected
518,6.0,0.0,2.0,0.0,0.0,,,infected
519,,2.0,0.0,0.0,0.0,,,not_infected
520,5.0,0.0,0.0,0.0,0.0,,,infected
521,8.0,0.0,0.0,0.0,0.0,,,infected
522,4.0,2.0,1.0,0.0,0.0,,,infected
523,,0.0,2.0,0.0,0.0,,,not_infected
524,5.0,0.0,1.0,0.06666666666666667,0.0,,,infected
525,3.0,2.0,6.0,0.0,0.0,,,infected
526,5.0,0.0,6.0,0.0,0.0,,,infected
527,,0.0,1.0,0.0,0.0,,,not_infected
528,,0.0,0.0,0.0,0.0,,,not_infected
529,5.0,2.0,6.0,0.06666666666666667,0.0,,,infected
530,7.0,0.0,1.0,0.0,0.0,,,infected
531,,0.0,3.0,0.06666666666666667,0.0,,,not_infected
532,5.0,0.0,2.0,0.0,0.0,,,infected
533,,0.0,2.0,0.0,0.0,,,not_infected
534,8.0,1.0,1.0,0.06666666666666667,0.0,,,infected
535,,0.0,6.0,0.13333333333333333,0.0,,,not_infected
536,9.0,0.0,0.0,0.0,0.0,,,infected
537,4.0,0.0,2.0,0.13333333333333333,0.0,,,infected
538,,1.0,3.0,0.06666666666666667,0.0,,,not_infected
539,5.0,0.0,1.0,0.06666666666666667,0.0,,,infected
540,9.0,0.0,1.0,0.0,0.0,,,infected
541,,0.0,2.0,0.0,0.0,,,not_infected
542,8.0,0.0,0.0,0.0,0.0,,,infected
543,5.0,0.0,1.0,0.0,0.0,,,infected
544,4.0,0.0,5.0,0.0,0.0,,,infected
545,,0.0,5.0,0.06666666666666667,0.0,,,not_infected
546,9.0,0.0,0.0,0.0,0.0,,,infected
547,8.0,0.0,0.0,0.06666666666666667,0.0,,,infected
548,9.0,0.0,1.0,0.13333333333333333,0.0,,,infected
549,5.0,0.0,2.0,0.0,0.0,,,infected
550,8.0,1.0,0.0,0.0,0.0,,,infected
551,3.0,2.0,3.0,0.0,0.0,,,infected
552,3.0,0.0,7.0,0.0,0.06666666666666667,,,infected
553,5.0,2.0,2.0,0.0,0.0,,,infected
554,,3.0,0.0,0.0,0.0,,,not_infected
555,9.0,0.0,1.0,0.0,0.0,,,infected
556,10.0,0.0,1.0,0.0,0.0,,,infected
557,12.0,0.0,0.0,0.0,0.0,,,infected
558,5.0,0.0,4.0,0.0,0.06666666666666667,,,infected
559,,1.0,3.0,0.0,0.0,,,not_infected
560,4.0,3.0,4.0,0.06666666666666667,0.0,,,infected
561,4.0,1.0,10.0,0.06666666666666667,0.0,,,infected
562,,5.0,0.0,0.06666666666666667,0.0,,,not_infected
563,9.0,0.0,6.0,0.06666666666666667,0.0,,,infected
564,10.0,0.0,9.0,0.0,0.0,,,infected
565,3.0,1.0,6.0,0.0,0.0,,,infected
566,3.0,7.0,4.0,0.0,0.0,,,infected
567,14.0,1.0,1.0,0.0,0.0,,,infected
568,11.0,0.0,0.0,0.0,0.0,,,infected
569,3.0,4.0,0.0,0.0,0.0,,,infected
570,10.0,0.0,0.0,0.0,0.0,,,infected
571,11.0,0.0,3.0,0.06666666666666667,0.0,,,infected
572,,0.0,10.0,0.0,0.0,,,not_infected
573,11.0,2.0,0.0,0.0,0.0,,,infected
574,3.0,1.0,5.0,0.0,0.06666666666666667,,,infected
575,4.0,2.0,3.0,0.13333333333333333,0.0,,,infected
576,2.0,2.0,10.0,0.0,0.13333333333333333,,,infected
577,,0.0,1.0,0.0,0.0,,,not_infected
578,,0.0,0.0,0.0,0.0,,,not_infected
579,,3.0,1.0,0.0,0.0,,,not_infected
580,11.0,0.0,0.0,0.0,0.0,,,infected
581,14.0,1.0,0.0,0.0,0.0,,,infected
582,13.0,5.0,0.0,0.0,0.0,,,infected
583,14.0,4.0,6.0,0.0,0.0,,,infected
584,10.0,0.0,2.0,0.06666666666666667,0.0,,,infected
585,,0.0,0.0,0.0,0.0,,,not_infected
586,9.0,1.0,3.0,0.06666666666666667,0.0,,,infected
587,12.0,0.0,1.0,0.0,0.0,,,infected
588,12.0,0.0,0.0,0.0,0.0,,,infected
589,10.0,0.0,3.0,0.0,0.0,,,infected
590,,13.0,1.0,0.06666666666666667,0.0,,,not_infected
591,,0.0,1.0,0.0,0.0,,,not_infected
592,5.0,1.0,5.0,0.0,0.06666666666666667,,,infected
593,,0.0,1.0,0.0,0.0,,,not_infected
594,3.0,6.0,0.0,0.0,0.0,,,infected
